Ramirez,H	LAD	SS	86	304	62	105	25	2	20	57	27	52	10	2	.345	.402	.638	1.040	11666667	
Mauer,J	MIN	1B	113	445	62	144	35	0	11	47	61	89	0	1	.324	.404	.476	.880	23000000	
Johnson,C	ATL	3B	142	514	54	165	34	0	12	68	29	116	0	0	.321	.358	.457	.816	2287500	
Freeman,F	ATL	1B	147	551	89	176	27	2	23	109	66	121	1	0	.319	.396	.501	.897	560000	
Puig,Y	LAD	RF	104	382	66	122	21	2	19	42	36	97	11	8	.319	.391	.534	.925	6000000	
Molina,Y	STL	C	136	505	68	161	44	0	12	80	30	55	3	2	.319	.359	.477	.836	15000000	
Infante,O	DET	2B	118	453	54	144	24	3	10	51	20	44	5	2	.318	.345	.450	.795	4000000	
McCutchen,A	PIT	CF	157	583	97	185	38	5	21	84	78	101	27	10	.317	.404	.508	.911	8583333	
Beltre,A	TEX	3B	161	631	88	199	32	0	30	92	50	78	1	0	.315	.371	.509	.880	16000000	
Tulowitzki,T	COL	SS	126	446	72	139	27	0	25	82	57	85	1	0	.312	.391	.540	.931	15775000	
Ortiz,D	BOS	DH	137	518	84	160	38	2	30	103	76	88	4	0	.309	.395	.564	.959	13000000	
Wright,D	NYM	3B	112	430	63	132	23	6	18	58	55	79	17	3	.307	.390	.514	.904	17250000	
Votto,J	CIN	1B	162	581	101	177	30	3	24	73	135	138	6	3	.305	.435	.491	.926	12666667	
Peralta,J	DET	SS	107	409	50	124	30	0	11	55	35	98	3	3	.303	.358	.457	.815	6000000	
Goldschmidt,P	ARI	1B	160	602	103	182	36	3	36	125	99	145	15	7	.302	.401	.551	.952	500000	
Pedroia,D	BOS	2B	160	641	91	193	42	2	9	84	73	75	17	5	.301	.372	.415	.787	6750000	
Martinez,V	DET	DH	159	605	68	182	36	0	14	83	54	62	0	2	.301	.355	.430	.785	12500000	
Donaldson,J	OAK	3B	158	579	89	174	37	3	24	93	76	110	5	2	.301	.384	.499	.883	492500	
Holliday,M	STL	LF	141	520	103	156	31	1	22	94	69	86	6	1	.300	.389	.490	.879	17142857	
Navarro,D	CHC	C	89	240	31	72	7	0	13	34	23	36	0	1	.300	.365	.492	.856	1750000	
Loney,J	TB	1B	158	549	54	164	33	0	13	75	44	77	3	1	.299	.348	.430	.778	2000000	
Nieves,W	ARI	C	71	195	16	58	11	0	1	22	8	32	0	0	.297	.320	.369	.690	800000	
Scutaro,M	SF	2B	127	488	57	145	23	3	2	31	45	34	2	0	.297	.357	.369	.726	6666667	
Kendrick,H	LAA	2B	122	478	55	142	21	4	13	54	23	89	6	3	.297	.335	.439	.775	8375000	
Pena,B	DET	C	71	229	19	68	11	0	4	22	6	26	0	2	.297	.315	.397	.713	875000	
Carp,M	BOS	1B	86	216	34	64	18	2	9	43	22	67	1	0	.296	.362	.523	.885	508500	
Reyes,J	TOR	SS	93	382	58	113	20	0	10	37	34	47	15	6	.296	.353	.427	.780	17666666	
Posey,B	SF	C	148	520	61	153	34	1	15	72	60	70	2	1	.294	.371	.450	.821	18555555	
Segura,J	MIL	SS	146	588	74	173	20	10	12	49	25	84	44	13	.294	.329	.423	.752	492000	
Gonzalez,A	LAD	1B	157	583	69	171	32	0	22	100	47	98	1	0	.293	.342	.461	.803	22000000	
Perez,S	KC	C	138	496	48	145	25	3	13	79	21	63	0	0	.292	.323	.433	.757	1400000	
Herrera,J	COL	SS	81	195	16	57	7	2	1	16	14	24	3	2	.292	.336	.364	.701	900000	
Rosario,W	COL	C	121	449	63	131	22	1	21	79	15	109	4	1	.292	.315	.486	.801	491000	
Lowrie,J	OAK	SS	154	603	80	175	45	2	15	75	50	91	1	0	.290	.344	.446	.791	2400000	
Belt,B	SF	1B	150	509	76	147	39	4	17	67	52	125	5	2	.289	.360	.481	.841	531500	
Butler,B	KC	DH	162	582	62	168	27	0	15	82	79	102	0	0	.289	.374	.412	.787	7500000	
Lind,A	TOR	1B	143	465	67	134	26	1	23	67	51	103	1	0	.288	.357	.497	.854	5150000	
Davis,C	BAL	1B	160	584	103	167	42	1	53	138	72	199	4	1	.286	.370	.634	1.004	3300000	
Murphy,D	NYM	2B	161	658	92	188	38	4	13	78	32	95	23	3	.286	.319	.415	.733	2925000	
Ramirez,A	CWS	SS	158	637	68	181	39	2	6	48	26	68	30	9	.284	.313	.380	.693	8125000	
Utley,C	PHI	2B	131	476	73	135	25	6	18	69	45	79	8	3	.284	.348	.475	.823	12142857	
Cabrera,E	SD	SS	95	381	54	108	15	5	4	31	41	69	37	12	.283	.355	.381	.736	1275000	
Ramirez,A	MIL	3B	92	304	43	86	18	0	12	49	36	55	0	1	.283	.370	.461	.831	12000000	
Prado,M	ARI	3B	155	609	70	172	36	2	14	82	47	53	3	5	.282	.333	.417	.750	10000000	
Alonso,Y	SD	1B	97	334	34	94	11	0	6	45	32	47	6	0	.281	.341	.368	.710	1120000	
Laird,G	ATL	C	47	121	12	34	8	0	1	13	14	23	1	1	.281	.367	.372	.739	1500000	
Chavez,E	ARI	3B	80	228	28	64	14	2	9	44	19	45	1	0	.281	.332	.478	.810	3000000	
Lucroy,J	MIL	C	147	521	59	146	25	6	18	82	46	69	9	1	.280	.340	.455	.795	2200000	
Desmond,I	WSH	SS	158	600	77	168	38	3	20	80	43	145	21	6	.280	.331	.453	.784	3800000	
Fielder,P	DET	1B	162	624	82	174	36	0	25	106	75	117	1	1	.279	.362	.457	.819	23777778	
Uribe,J	LAD	3B	132	388	47	108	22	2	12	50	30	81	5	0	.278	.331	.438	.769	7000000	
Sandoval,P	SF	3B	141	525	52	146	27	2	14	79	47	79	0	0	.278	.341	.417	.758	5716667	
Kinsler,I	TEX	2B	136	545	85	151	31	2	13	72	51	59	15	11	.277	.344	.413	.757	15000000	
Castro,J	HOU	C	120	435	63	120	35	1	18	56	50	130	2	1	.276	.350	.485	.835	496600	
Zimmerman,R	WSH	3B	147	568	84	156	26	2	26	79	60	133	6	0	.275	.344	.465	.809	9000000	
Castillo,W	CHC	C	113	380	41	104	23	0	8	32	34	97	2	0	.274	.349	.397	.746	503000	
Freiman,N	OAK	1B	80	190	10	52	8	1	4	24	14	31	0	0	.274	.327	.389	.716	490000	
Saltalamacchia,J	BOS	C	121	425	68	116	40	0	14	65	43	139	4	1	.273	.338	.466	.804	4500000	
Pierzynski,A	TEX	C	134	503	48	137	24	1	17	70	11	76	1	1	.272	.297	.425	.722	7500000	
Ramos,W	WSH	C	78	287	29	78	9	0	16	59	15	42	0	1	.272	.307	.470	.777	501250	
Andrus,E	TEX	SS	156	620	91	168	17	4	4	67	52	97	42	8	.271	.328	.331	.659	4800000	
Aybar,E	LAA	SS	138	550	68	149	33	5	6	54	23	59	12	7	.271	.301	.382	.683	8750000	
Jaso,J	OAK	C	70	207	31	56	12	0	3	21	38	45	2	1	.271	.387	.372	.759	1800000	
Ellis,M	LAD	2B	126	433	46	117	13	2	6	48	26	74	4	1	.270	.323	.351	.674	4375000	
Cervelli,F	NYY	C	17	52	12	14	3	0	3	8	8	9	0	0	.269	.377	.500	.877	515350	
Longoria,E	TB	3B	160	614	91	165	39	3	32	88	70	162	1	0	.269	.343	.498	.842	13600000	
Ruiz,C	PHI	C	92	310	30	83	16	0	5	37	18	39	1	0	.268	.320	.368	.688	5000000	
Beckham,G	CWS	2B	103	371	46	99	22	1	5	24	28	56	5	1	.267	.322	.372	.694	2925000	
Howard,R	PHI	1B	80	286	34	76	20	2	11	43	23	95	0	0	.266	.319	.465	.784	25000000	
Hardy,J	BAL	SS	159	601	66	158	27	0	25	76	38	73	2	1	.263	.306	.433	.738	7416667	
Freese,D	STL	3B	138	462	53	121	26	1	9	60	47	106	1	2	.262	.340	.381	.721	3150000	
Phillips,B	CIN	2B	151	606	80	158	24	2	18	103	39	98	5	3	.261	.310	.396	.706	12083333	
Martin,L	TEX	CF	147	457	66	119	21	6	8	49	28	104	36	9	.260	.313	.385	.698	3100000	
Seager,K	SEA	3B	160	615	79	160	32	2	22	69	68	122	9	3	.260	.338	.426	.764	510400	
Nunez,E	NYY	SS	90	304	38	79	17	4	3	28	20	51	10	3	.260	.307	.372	.679	533300	
Napoli,M	BOS	1B	139	498	79	129	38	2	23	92	73	187	1	1	.259	.360	.482	.842	5000000	
Lombardozzi,S	WSH	2B	118	290	25	75	15	1	2	22	8	34	4	3	.259	.278	.338	.616	501250	
McCann,B	ATL	C	102	356	43	91	13	0	20	57	39	66	0	1	.256	.336	.461	.796	12000000	
Moss,B	OAK	1B	145	446	73	114	23	3	30	87	50	140	4	2	.256	.337	.522	.859	1600000	
Lawrie,B	TOR	3B	107	401	41	102	18	3	11	46	30	68	9	5	.254	.315	.397	.712	500000	
Cozart,Z	CIN	SS	151	567	74	144	30	3	12	63	26	102	0	0	.254	.284	.381	.665	527500	
Sanchez,G	PIT	1B	136	264	29	67	18	0	7	36	44	51	1	0	.254	.361	.402	.762	1750000	
Plouffe,T	MIN	3B	129	477	44	121	22	1	14	52	34	112	2	1	.254	.309	.392	.701	520000	
Drew,S	BOS	SS	124	442	57	112	29	8	13	67	54	124	6	0	.253	.333	.443	.777	9500000	
Rollins,J	PHI	SS	160	600	65	151	36	2	6	39	59	93	22	6	.252	.318	.348	.667	11000000	
