 Brett, R	TB	2B	3	3	0	2	1	0	0	0	1	0	0	0	.667	.750	1.000	1.750	
 Burriss, E	WSH	2B	5	3	2	2	0	0	0	0	2	0	0	0	.667	.800	.667	1.467	
 Bandy, J	LAA	C	2	2	1	1	0	0	1	1	0	0	0	0	.500	.500	2.000	2.500	
 Noel, R	NYY	CF	15	2	5	1	0	0	0	0	0	0	5	2	.500	.500	.500	1.000	
 Tartamella, T	STL	C	3	2	0	1	0	0	0	0	0	0	0	0	.500	.500	.500	1.000	
 Anderson, B	OAK	C	4	5	0	2	0	0	0	1	1	1	0	0	.400	.429	.400	.829	
 Heathcott, S	NYY	CF	17	25	6	10	2	0	2	8	2	5	0	1	.400	.429	.720	1.149	
 O'Brien, P	ARI	LF	8	10	1	4	1	0	1	3	2	5	0	0	.400	.500	.800	1.300	
 Stanley, C	STL	C	9	10	2	4	1	0	0	3	0	3	0	0	.400	.400	.500	.900	
 Stassi, M	HOU	C	11	15	4	6	0	0	1	2	1	5	0	0	.400	.438	.600	1.038	
 Duffy, M	HOU	3B	8	8	0	3	1	0	0	3	1	2	0	0	.375	.444	.500	.944	
 Sanchez, T	PIT	C	3	8	2	3	0	0	0	0	1	3	0	0	.375	.444	.375	.819	
 Cabrera, R	CIN	C	13	30	4	11	1	0	1	3	0	5	0	0	.367	.367	.500	.867	
 Parker, J	SF	RF	21	49	11	17	2	0	6	14	5	21	1	1	.347	.407	.755	1.163	
 Cabrera, M	DET	1B	119	429	64	145	28	1	18	76	77	82	1	1	.338	.440	.534	.974	
 Seager, C	LAD	SS	27	98	17	33	8	1	4	17	14	19	2	0	.337	.425	.561	.986	
 Fields, D	MIL	LF	1	3	1	1	1	0	0	0	0	2	0	0	.333	.333	.667	1.000	
 Gordon, D	MIA	2B	145	615	88	205	24	8	4	46	25	91	58	20	.333	.359	.418	.776	
 Marte, A	LAA	LF	5	6	0	2	0	0	0	0	1	1	0	0	.333	.500	.333	.833	
 Reed, M	MIL	RF	7	6	2	2	1	0	0	0	0	3	0	0	.333	.333	.500	.833	
 Romak, J	ARI	LF	12	15	2	5	2	0	0	1	1	6	0	0	.333	.375	.467	.842	
 Torreyes, R	LAD	SS	8	6	1	2	1	0	0	1	1	1	0	0	.333	.429	.500	.929	
 Weeks, J	BOS	2B	3	9	1	3	0	0	0	1	0	2	0	0	.333	.333	.333	.667	
 Harper, B	WSH	RF	153	521	118	172	38	1	42	99	124	131	6	4	.330	.460	.649	1.109	
 Colabello, C	TOR	1B	101	333	55	107	19	1	15	54	22	96	2	0	.321	.367	.520	.886	
 Goldschmidt, P	ARI	1B	159	567	103	182	38	2	33	110	118	151	21	5	.321	.435	.570	1.005	
 Bogaerts, X	BOS	SS	156	613	84	196	35	3	7	81	32	101	10	2	.320	.355	.421	.776	
