 Perez, Y	MIA	CF	12	3	5	2	1	0	0	0	0	1	4	2	.667	.667	1.000	1.667
 Davidson, M	CWS	3B	1	2	1	1	0	0	0	1	0	1	0	0	.500	.500	.500	1.000
 Hicks, J	DET	C	1	2	1	1	1	0	0	0	0	0	0	0	.500	.500	1.000	1.500
 Parmelee, C	NYY	1B	6	8	4	4	1	0	2	4	0	3	0	0	.500	.500	1.375	1.875
 Tilson, C	CWS	CF	1	2	0	1	0	0	0	0	0	0	0	0	.500	.500	.500	1.000
 Sucre, J	SEA	C	9	25	4	12	2	0	1	5	2	5	0	0	.480	.552	.680	1.232
 Patterson, J	COL	RF	10	18	1	8	1	0	0	2	1	1	0	1	.444	.474	.500	.974
 Martinez, J	STL	LF	12	16	4	7	1	0	0	1	2	1	0	0	.438	.500	.500	1.000
 Stallings, J	PIT	C	5	15	0	6	1	0	0	2	0	4	1	0	.400	.400	.467	.867
 Renfroe, H	SD	RF	11	35	8	13	3	0	4	14	1	5	0	0	.371	.389	.800	1.189
 Mancini, T	BAL	1B	5	14	3	5	1	0	3	5	0	4	0	0	.357	.400	1.071	1.471
 LeMahieu, D	COL	2B	146	552	104	192	32	8	11	66	66	80	11	7	.348	.416	.495	.911
 Murphy, D	WSH	2B	142	531	88	184	47	5	25	104	35	57	5	3	.347	.390	.595	.985
 Turner, T	WSH	CF	73	307	53	105	14	8	13	40	14	59	33	6	.342	.370	.567	.937
 Altuve, J	HOU	2B	161	640	108	216	42	5	24	96	60	70	30	10	.338	.396	.531	.928
 Alvarez, D	BAL	RF	2	3	0	1	1	0	0	0	1	0	0	0	.333	.500	.667	1.167
 Cecchini, G	NYM	SS	4	6	2	2	2	0	0	2	0	2	0	0	.333	.429	.667	1.095
 Kawasaki, M	CHC	SS	14	21	3	7	2	0	0	1	4	5	2	0	.333	.462	.429	.890
 Rivera, T	NYM	3B	33	105	10	35	4	1	3	16	3	17	0	0	.333	.345	.476	.821
 Ruggiano, J	NYM	CF	9	24	4	8	1	0	2	7	2	10	0	1	.333	.385	.625	1.010
 Votto, J	CIN	1B	158	556	101	181	34	2	29	97	108	120	8	1	.326	.434	.550	.985
 Peraza, J	CIN	LF	72	241	25	78	8	2	3	25	7	33	21	10	.324	.352	.411	.762
 Blackmon, C	COL	CF	143	578	111	187	35	5	29	82	43	102	17	9	.324	.381	.552	.933
 Severino, P	WSH	C	16	28	6	9	2	0	2	4	5	3	0	0	.321	.441	.607	1.048
 Segura, J	ARI	2B	153	637	102	203	41	7	20	64	39	101	33	10	.319	.368	.499	.867
 Betts, M	BOS	RF	158	672	122	214	42	5	31	113	49	80	26	4	.318	.363	.534	.897
 Pedroia, D	BOS	2B	154	633	105	201	36	1	15	74	61	73	7	4	.318	.376	.449	.825
 Fuentes, R	KC	RF	13	41	2	13	1	0	0	5	3	8	0	2	.317	.364	.341	.705
 Cabrera, M	DET	1B	158	595	92	188	31	1	38	108	75	116	0	0	.316	.393	.563	.956
 Dahl, D	COL	LF	63	222	42	70	12	4	7	24	15	59	5	0	.315	.359	.500	.859
 Maybin, C	DET	CF	94	349	65	110	14	5	4	43	36	69	15	6	.315	.383	.418	.801
 Trout, M	LAA	CF	159	549	123	173	32	5	29	100	116	137	30	7	.315	.441	.550	.991
