RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
751	 Venable, W	LAD	CF	12	18	2	1	1	0	0	0	0	5	0	0	.056	.105	.111	.216
752	 Friedrich, C	SD	P	23	37	2	2	0	0	0	2	3	23	0	0	.054	.125	.054	.179
753	 Verrett, L	NYM	P	34	19	1	1	1	0	0	0	0	12	0	0	.053	.053	.105	.158
753	 Vogelsong, R	PIT	P	24	19	1	1	0	0	0	1	1	13	0	0	.053	.143	.053	.195
755	 Lamb, J	CIN	P	12	20	0	1	0	0	0	0	1	12	0	0	.050	.095	.050	.145
756	 Blair, A	ATL	P	15	21	0	1	0	0	0	0	0	9	0	0	.048	.048	.048	.095
757	 Bettis, C	COL	P	28	49	2	2	0	0	0	2	4	21	0	0	.041	.113	.041	.154
758	 Gallo, J	TEX	3B	17	25	2	1	0	0	1	1	5	19	1	0	.040	.200	.160	.360
759	 Garza, M	MIL	P	17	28	1	1	0	0	0	0	2	17	0	0	.036	.100	.036	.136
760	 Nola, A	PHI	P	18	30	1	1	1	0	0	0	3	17	0	0	.033	.147	.067	.214
761	 Wacha, M	STL	P	26	39	1	1	0	0	0	0	3	22	0	0	.026	.095	.026	.121
762	 Straily, D	CIN	P	32	52	2	1	0	0	0	1	2	40	0	0	.019	.056	.019	.075
763	 Abad, F	BOS	P	4	1	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 Aguilar, J	CLE	1B	9	6	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 Alvarez, J	LAA	P	3	1	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Anderson, B	LAD	P	4	3	0	0	0	0	0	0	0	2	0	0	.000	.000	.000	.000
763	 Andriese, M	TB	P	1	1	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Archer, C	TB	P	3	7	1	0	0	0	0	0	1	3	0	0	.000	.125	.000	.125
763	 Baez, P	LAD	P	67	1	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Barraclough, K	MIA	P	72	1	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 Bauer, T	CLE	P	3	5	0	0	0	0	0	0	0	5	0	0	.000	.000	.000	.000
763	 Belisle, M	WSH	P	38	4	0	0	0	0	0	0	0	2	0	0	.000	.000	.000	.000
763	 Blevins, J	NYM	P	69	1	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Bolsinger, M	TOR	P	5	9	0	0	0	0	0	0	0	7	0	0	.000	.000	.000	.000
763	 Bowman, M	STL	P	57	1	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 Boyer, B	MIL	P	57	1	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Bracho, S	ARI	P	25	1	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 Buchanan, J	CHC	P	2	1	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 Buchholz, C	BOS	P	4	2	0	0	0	0	0	0	1	2	0	0	.000	.333	.000	.333
763	 Bundy, D	BAL	P	2	3	0	0	0	0	0	0	0	2	0	0	.000	.000	.000	.000
763	 Burns, A	TOR	2B	10	6	2	0	0	0	0	0	0	2	0	0	.000	.143	.000	.143
763	 Buschmann, M	ARI	P	3	1	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Caminero, A	SEA	P	37	2	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 Campos, V	ARI	P	1	2	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Chen, W	MIA	P	21	44	0	0	0	0	0	0	0	18	0	0	.000	.000	.000	.000
763	 Clemens, P	SD	P	17	21	1	0	0	0	0	0	1	11	0	0	.000	.045	.000	.045
763	 Clevinger, M	CLE	P	1	2	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Cole, A	WSH	P	7	7	0	0	0	0	0	0	0	4	0	0	.000	.000	.000	.000
763	 Collmenter, J	ATL	P	18	6	0	0	0	0	0	0	0	6	0	0	.000	.000	.000	.000
763	 Cruz, T	KC	C	4	4	0	0	0	0	0	1	0	3	0	0	.000	.000	.000	.000
763	 Dayton, G	LAD	P	23	1	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 De Leon, J	LAD	P	3	4	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 Delgado, R	ARI	P	75	2	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Detwiler, R	OAK	P	1	1	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 Diaz, E	SEA	P	3	1	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Diaz, E	PIT	C	1	4	0	0	0	0	0	1	0	1	0	0	.000	.000	.000	.000
763	 Diaz, J	CIN	P	45	1	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000
763	 Dickey, R	TOR	P	1	1	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
763	 Dominguez, M	TOR	3B	5	11	0	0	0	0	0	0	1	3	0	0	.000	.083	.000	.083
763	 Drake, O	BAL	P	2	1	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	.000
